k,direct_bias,mean_displacement,nn_stability_at10
0,0.11550168539664672,-1.30E-16,1
1,2.6966345513238494e-08,0.008601887,0.9299999999999997
2,2.7546761803041145e-08,0.014205572598871962,0.9199999999999997
3,3.157646724625937e-08,0.018765265829815175,0.9066666666666663
5,3.269439774944806e-08,0.025484745,0.8899999999999998
8,3.5476332980358884e-08,0.037550014874045155,0.8599999999999999
10,3.9460981043461276e-08,0.042828365144250084,0.8566666666666666
